"SiteCode","Regions","Country","Site name","National name","Global KBA criteria","KBA Classification","Ecosystems","Latitude","Longitude","Elevation (m)","Area (Km2)","PA/OECM coverage (%)","Legacy site","Year of assessment"
"14671","South America","Peru","Reserva Nacional Pacaya Samiria","Reserva Nacional Pacaya Samiria","A1b,A1d,B1,B2","Global","terrestrial","-5.2179","-74.7809","100 to 200","21717.92999","100.00","Yes","2023"
"14674","South America","Peru","Lago Lagunillas","Lago Lagunillas","","Regional","terrestrial","-15.7333","-70.7333","4160","49.176931","","Yes","2015"
"14677","South America","Peru","Moyobamba","Moyobamba","A1a,A1c,B2","Global","terrestrial","-6.1594","-77.0716","810 to 1120","926.75839","","Yes","2023"
"14687","South America","Peru","Quincemil","Quincemil","B2","Global","terrestrial","-13.3647","-70.6577","550 to 3310","627.256942","0.06","Yes","2023"
"14690","South America","Peru","Tambopata","Tambopata","A1a,B1,B2","Global","terrestrial, freshwater","-12.8994","-69.4977","200 to 550","2778.22342","55.00","Yes","2023"
"14693","South America","Peru","Maruncunca","Maruncunca","A1b,B2","Global","terrestrial, freshwater","-14.1880","-69.1888","1300 to 2600","537.114961","","Yes","2023"
"14695","South America","Peru","Reserva Nacional Salinas y Aguada Blanca","Reserva Nacional Salinas y Aguada Blanca","A1b,B2,D1a","Global","terrestrial","-16.1024","-71.2193","2850 to 6050","3685.64145","","Yes","2023"
"14701","South America","Peru","Talara","Talara","A1b,B2","Global","terrestrial","-4.6360","-81.1440","7 to 350","68.819273","","Yes","2023"
"14702","South America","Peru","Covire","Covire","","Global/Regional TBD’ ","freshwater, terrestrial","-17.1833","-69.9167","4000 to 4416","672.639745","36.12","Yes","2015"
"14712","South America","Peru","Bosques secos de Morropón","Bosques secos de Morropón","B2","Global","terrestrial","-5.1069","-79.8860","323 to 2090","33.540243","","Yes","2023"
"14716","South America","Peru","Laguna Umayo","Laguna Umayo","","Global/Regional TBD’ ","freshwater, terrestrial","-15.7333","-70.1667","3820","276.047696","92.78","Yes","2015"
"14717","South America","Peru","Ramis y Arapa (Lago Titicaca, sector Peruano)","Ramis y Arapa (Lago Titicaca, sector Peruano)","A1a,A1b,A1c,B1","Global","freshwater, terrestrial","-15.6970","-69.6240","3825 to 4350","4779.742","","Yes","2023"
"14719","South America","Peru","Morona","Morona","B2","Global","terrestrial","-4.5086","-77.2753","130 to 230","1436.729222","25.51","Yes","2023"
"14724","South America","Peru","Cordillera Vilcabamba - Avireri - VRAEM","Cordillera Vilcabamba - Avireri - VRAEM","A1a,A1b,B1,B2","Global","terrestrial","-11.8372","-73.4775","400 to 4250","23243.437136","30.90","Yes","2023"
"14725","South America","Peru","Bahuaja-Sonene","Bahuaja-Sonene","B1,B2","Global","terrestrial","-13.5023","-69.3543","400 to 2100","10929.354547","","Yes","2023"
"14731","South America","Peru","Coto de Caza El Angolo","Coto de Caza El Angolo","A1b,B2","Global","terrestrial","-4.3028","-80.7864","160 to 1520","653.448791","68.70","Yes","2023"
"14736","South America","Peru","San José de Lourdes","San José de Lourdes","A1b,B1,B2","Global","terrestrial","-5.0700","-78.9000","562 to 2755","50.108038","","Yes","2023"
"14767","South America","Peru","Champará","Champará","A1a","Global","terrestrial","-8.6739","-77.8006","2400 to 5735","323.653989","","Yes","2023"
"14773","South America","Peru","Parque Nacional Huascarán y zona de amortiguamiento","Parque Nacional Huascarán y zona de amortiguamiento","A1a,A1b,A1d,A1e,B1,B2","Global","terrestrial","-9.3974","-77.4085","1390 to 6768","3396.839259","63.50","Yes","2023"
"14783","South America","Peru","Alto Purús","Alto Purús","A1a,A1c,B1","Global","terrestrial","-10.8956","-71.3064","200 to 650","27096.651021","71.32","Yes","2023"
"14785","South America","Peru","Alto Valle Santa Eulalia-Milloc","Alto Valle Santa Eulalia-Milloc","A1a,A1b,B1","Global","terrestrial","-11.6000","-76.4200","3600 to 4200","209.277392","","Yes","2023"
"14786","South America","Peru","Bosque de Zárate","Bosque de Zárate","A1a","Global","terrestrial","-11.9300","-74.4600","2700 to 3300","17.107643","31.70","Yes","2023"
"14788","South America","Peru","Lago de Junín","Lago de Junín","A1a,A1e,B1,B2","Global","freshwater, terrestrial","-10.9789","-76.0864","4100 to 4400","525.845249","","Yes","2023"
"14789","South America","Peru","Marcapomacocha","Marcapomacocha","A1a,B1","Global","terrestrial, freshwater","-11.4000","-76.3470","4182 to 5081","218.931851","","Yes","2023"
"14790","South America","Peru","Pampas Pucacocha y Curicocha","Pampas Pucacocha y Curicocha","A1a,A1b","Global","terrestrial","-11.6022","-76.2638","4200 to 5368","229.288805","","Yes","2023"
"14791","South America","Peru","Yauli","Yauli","B1","Global","terrestrial","-12.7760","-74.9185","3400 to 4550","39.272638","","Yes","2023"
"14792","South America","Peru","Pisco","Pisco","","Global/Regional TBD’ ","terrestrial","-13.6833","-76.2000","50","11.523854","","Yes","2008"
"14794","South America","Peru","Nazca","Nazca","","Global/Regional TBD’ ","terrestrial","-14.8333","-74.9333","600","40.741252","","Yes","2008"
"14796","South America","Peru","Reserva Nacional Pampa Galeras - Bárbara d'Achille and Buffer Zone","Reserva Nacional Pampa Galeras - Bárbara d'Achille and Buffer Zone","A1a,A1e,B1","Global","terrestrial, freshwater","-14.6900","-74.3760","3671 to 4293","80.133691","35.00","Yes","2023"
"14801","South America","Peru","Runtacocha-Morococha","Runtacocha-Morococha","A1b,B1,B2","Global","terrestrial, freshwater","-13.7280","-72.6970","3500 to 4700","360.726825","","Yes","2023"
"14807","South America","Peru","Chiñama","Chiñama","","Global/Regional TBD’ ","terrestrial","-6.1000","-79.4333","2500 to 3100","80.594948","","Yes","2008"
"14814","South America","Peru","San Marcos","San Marcos","A1a","Global","terrestrial, freshwater","-7.3060","-78.1970","2193 to 3042","45.867061","","Yes","2023"
"14820","South America","Peru","Lomas de Lachay","Lomas de Lachay","A1a","Global","terrestrial","-11.3687","-77.3652","40 to 960","51.235082","","Yes","2023"
"14825","South America","Peru","Sinsicap","Sinsicap","A1b,B1,B2","Global","terrestrial","-7.8230","-78.7700","368 to 4268","33.51168","","Yes","2023"
"14832","South America","Peru","Condor Mountain Range","Cordillera del Cóndor","A1b,B1,B2","Global","terrestrial","-3.7800","-77.9200","2000 to 2700","16440.87059","69.00","Yes","2023"
"14834","South America","Peru","El Sira Communal Reserve","Reserva Comunal El Sira","A1a,A1e,B1,B2,B3b","Global","terrestrial","-9.8982","-74.5286","120 to 2400","17138.302399","36.00","Yes","2023"
"14835","South America","Peru","Valle del Majes","Valle del Majes","A1a","Global","terrestrial, freshwater","-16.0250","-72.4990","43 to 3635","93.784318","","Yes","2023"
"14837","South America","Peru","Laguna El Paraíso","Laguna El Paraíso","A1a","Global","freshwater","-11.2080","-77.5870","4","14.723676","","Yes","2023"
"14838","South America","Peru","Pantanos de Villa","Pantanos de Villa","B1","Global","terrestrial","-12.2138","-76.9888","1 to 5","2.631177","100.00","Yes","2023"
"14839","South America","Peru","Laguna de Ite","Laguna de Ite","D1a","Global","marine, terrestrial","-17.8833","-70.9833","10","12.326873","","Yes","2008"
"14840","South America","Peru","Lagunas de Huacarpay","Lagunas de Huacarpay","A1a,A1b,B1,B2","Global","terrestrial","-13.6313","-71.7211","3070 to 4080","36.325131","","Yes","2023"
"14842","South America","Peru","Laguna Maquera","Laguna Maquera","","Global/Regional TBD’ ","terrestrial","-15.8833","-70.5667","4180","1.311171","","Yes","2008"
"14847","South America","Peru","Los Amigos","Los Amigos","B1","Global","terrestrial, freshwater","-12.3257","-70.3819","250 to 400","1358.590489","","Yes","2023"
"14852","South America","Peru","Yanachaga - Chemillén National Park","Parque Nacional Yanachaga - Chemillén ","A1a,A1b,A1e,B1,B2","Global","terrestrial, freshwater","-10.3542","-75.4491","350 to 3600","1138.172191","67.10","Yes","2023"
"14853","South America","Peru","Lago Parinacochas","Lago Parinacochas","","Global/Regional TBD’ ","terrestrial","-15.2833","-73.7000","3200","102.623153","","Yes","2008"
"14862","South America","Peru","Parque Nacional Tingo María","Parque Nacional Tingo María","B1","Global","terrestrial","-9.3700","-76.0000","650 to 1849","47.798915","100.00","Yes","2023"
"14868","South America","Peru","Lomas de Atocongo","Lomas de Atocongo","A1b,A1d,A1e,B1","Global","terrestrial","-12.2793","-76.6893","200 to 1000","228.851736","","Yes","2023"
"14869","South America","Peru","Atiquipa","Atiquipa","A1a,A1c,B1","Global","terrestrial","-15.7533","-74.3660","100 to 1850","113.818899","45.90","Yes","2023"
"14883","South America","Peru","Chiguata","Chiguata","B2","Global","terrestrial","","","2600 to 5300","333.366619","","Yes","2023"
"14888","South America","Peru","Playa Pampa","Playa Pampa","","Global/Regional TBD’ ","terrestrial","-9.9667","-75.6833","1400 to 2400","12.335872","","Yes","2015"
"14889","South America","Peru","Milpo","Milpo","","Global/Regional TBD’ ","terrestrial","-9.9000","-75.7667","2800 to 4143","50.84611","","Yes","2015"
"14892","South America","Peru","Chaparrí","Chaparrí","A1a,B1,B2","Global","terrestrial","-6.5920","-79.3940","200 to 1650","403.430182","77.00","Yes","2023"
"14897","South America","Peru","Cutervo National Park and surrounding areas","Parque Nacional de Cutervo y alrededores","A1a,A1e,B1,B2","Global","terrestrial","-6.2310","-78.7900","1150 to 3500","82.086204","27.00","Yes","2023"
"14899","South America","Peru","Río Mantaro-Cordillera Central","Río Mantaro-Cordillera Central","B2","Global","terrestrial","-12.0770","-74.5280","1260 to 3626","143.148209","","Yes","2023"
